Word	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	
tommy																																																																									
allison																																																																									
mailing																X												X																																													
letter																												X																																													
thanking																X						X	X																																																		
park																																																																									
863																				X																																																					
studio																																																														X		X									
video																																								X	X																						X										
ginny																																																																									
ginnyits																																																																									
rent																																																																X	X								
rocky																																																																									
whatever	X	X							X										X																																																						
car																																																										X	X														
pole																																																																									
repairman																																																																									
till	X										X			X																																												X			X												
hurt																						X		X			X													X			X																														
took																X																																	X				X		X																		
ambulance																																																																									
godfather																												X	X			X																																									
ii																																																																									
donald																																																																									
duck																																																																									
karaiskaki																																																																									
23																				X																																																					
3475583																				X																																																					
returns																																																										X			X												
owed																X																																							X										X								
visa																																																																	X								
expiration																																																																									
edward																																																																									
seerware																																																																									
200																				X																																																					
control																																	X		X														X			X																					
whether	X													X					X														X						X																																		
installing																																																																									
patch																																																																									
installedthe																																																																									
hadnt	X											X			X	X																																							X																		
intermittent																																																																									
catastrophic																																																																									
loss																						X		X			X																						X		X			X																			
recommend																												X																																													
tape																																																																									
cd																																																															X										
criticaltwo																																																																									
companies																																																														X											
several																					X																																																				
arrives																X																																								X		X	X														
soonthe																																																																									
putting																																																										X	X														
fires																																																																									
either																	X	X			X												X						X																																		
especially	X												X																				X					X																																			
internetits																																																																									
ssh																																																																									
ip																																																																									
12233455																				X																																																					
usernane																																																																									
duck22																																																																									
accountmy																																																																	X								
hacked																																																																									
vishnu																																																																									
cardinal																																																																									
1st																																																																									
moth																																																																									
follows																X																																								X		X	X														
1048xxxxxxxxxxxxx																																																																									
1070xxxxxxxxxxxxx																																																																									
2012																				X																																																					
1099xxxxxxxxxxxxx																																																																									
pa																												X	X			X																																									
sword																																																																									
1079xxxxxxxxxxxxx																																																																									
1076xxxxxxxxxxxxx																																																																									
1056xxxxxxxxxxxxx																																																																									
1068xxxxxxxxxxxxx																																																																									
13																				X																																																					
1062xxxxxxxxxxxxx																																																																									
saturday																																																										X			X												
1066xxxxxxxxxxxxx																																																																									
sunday																																																										X			X												
16																				X																																																					
eric																																																																									
mahesh																																																																									
detail																																																																									
springer																																																																									
emal																																																																									
ericwspringergmailcom																																																																									
620																				X																																																					
st																																																																									
seattle																																																																									
washington																																																																									
98101																				X																																																					
waco																																																																									
intuos																																																																									
pen																																																														X											
small																	X																																X			X						X		X													
tablet																																																																									
shows																																								X	X																																
dellivered																																																																									
estimated																																																																									
spinger																																																																									
addres																																																																									
0																				X																																																					
needed																X																	X			X																			X																		
assisting																																																																									
valued																						X	X																																																		
jimmy																																																																									
yoy																																																																									
info																																	X	X																																							
dynatrap																																																																									
ultralight																																																																									
insect																																																																									
mosquito																																																																									
trap																																																																									
h																																																																									
transit																																																																									
payment																																																														X			X								
method																																																																									
laso																																																																									
arefund																																																																									
cedit																																																																									
cards																																																															X										
anythong																																																																									
134																				X																																																					
decisions																																	X	X																																							
1230																				X																																																					
neil																																																																									
webster																																																																									
3182																				X																																																					
boston																																																																									
angela																																																																									
wisnowski																																																																									
handles																																																																									
requests																												X																					X			X																					
sick																	X					X		X																				X		X																											
whoever	X	X							X										X									X																																													
unreadable																																																																									
213something																																																																									
fac																																																																									
23423t																																																																									
3																				X																																																					
b																																																																				X		X			
paranoid																						X		X	X																																																
verification																																																																									
identify																																	X	X																																							
legitimate																																																																									
urgent																																																																									
hands																																								X			X	X	X																												
3184																				X																																																					
isb																																																																									
e																																																																									
9697																				X																																																					
9697right																																																																									
industrial																																																														X											
federal																																																																									
walter																																																																									
grabowski																X																								X			X																														
38																				X																																																					
caller																												X																																													
sig																																																																									
c																																																																									
teller																																																																									
anselmo																																																																									
800																				X																																																					
deposit																																																																	X								
credited																						X	X																																							X			X								
8005558600																				X																																																					
tim																																																																									
ackerman																																																																									
rd																																																																									
minneapolis																																																																									
infected																																												X		X																											
operating																																												X		X																X											
none	X														X						X																																																				
integrity																																																																									
backups																																																																									
truly	X												X									X	X										X					X																																			
yelled																X						X		X		X														X		X													X																		
agement																																																																									
arms																																												X	X																												
revision																																																														X											
sourcecode																																	X		X																																						
tree																																																																									
gzip																																																																									
source																																	X		X																																						
helpdesk																																																																									
clark																																																																									
banky																																																														X			X								
peopleeasy																												X																																													
difficulty																						X		X																									X					X																			
role																												X																																													
summary																																																																									
mainly																																	X				X																																				
tend																X																																								X																	
catch																																																										X	X														
daughter																												X	X		X																																										
bed																																																																X									
covers																																																																									
7pm																																																																									
7am																																																																									
shi																																																																									
johnny																																																																									
dull																	X					X		X			X																																														
3am																																																																									
jessica																																																																									
envy																						X		X		X																																															
advantages																						X	X																										X		X		X																				
bosses																																	X		X														X			X										X											
interfere																																																																									
usual																	X																																									X			X												
section																					X																																					X		X													
searched																																								X	X														X																		
beer																																												X				X															X										
tab																																																																									
select																																																																									
expert																																																	X			X																					
harrison																																																																									
met																X												X																					X	X					X																		
seing																																																																									
query																																	X	X																																							
experimenting																																																																									
lonely																						X		X			X																																														
isokay																																																																									
sureanytime																						X	X										X					X																																			
complex																	X																X	X																																							
silly																	X					X	X																																																		
vary																X																	X				X																			X																	
custom																																																																									
sql																																																																									
queries																																	X	X																																							
wow																						X	X																																																		
complicated																	X																X	X																																							
prey																																																	X			X																					
difficult																	X					X		X																									X					X																			
cry																X						X		X			X																																														
thinks																X																	X	X																						X																	
playing																X						X	X																																								X										
rebooted																																																																									
50																				X																																																					
spreadsheets																																																																									
taught																X																																	X			X			X							X											
loads																																																																									
crying																X						X		X			X																																														
summarize																																																																									
spreadsheet																																																																									
sobbing																X						X		X			X																																														
saved																																																																									
life																																												X		X																											
bankys																																																														X			X								
partly																					X												X				X																																				
mother																												X	X		X																																										
explain																X												X					X	X																						X																	
saver																																																																									
debra																																																																									
jennings																																																																									
wonder																X																	X	X			X																			X																	
aer																																																																									
miles																																																										X		X													
harringtonbrookes																																																																									
assertive																	X																																X			X																					
aggression																						X		X		X																																															
antle																																																																									
familiar																	X																																																								
antles																																																																									
heads																																												X	X																												
regulatory																																																	X			X										X											
unit																																																																									
pci																																																														X											
middle																	X	X																																								X		X													
manufacturing																																																														X											
auditor																																																																	X								
facility																																																																									
short																	X																																									X		X													
myself	X	X	X	X																																																																					
writing																X																																														X											
wanting																X																	X			X																																					
harrington																																																																									
brookes																																																																									
sarahclark																																																																									
photo																																								X	X																																
arranged																																																																									
badged																																																																									
schedulei																																																										X			X	X											
debras																																																																									
responsibility																																																														X											
given																X																																							X																		
authentication																																																																									
areas																																																										X		X													
warnedyou																						X		X																									X					X																			
centre																																																										X		X													
incoming																																																																									
communication																												X																					X	X																							
lines																																																																									
path																																																																									
harringtonbrooks																																																																									
developed																																																														X											
apart																																	X						X																			X		X													
minor																																																	X			X																					
cctv																																																																									
coverage																																																										X		X													
rear																																																																									
examine																																	X	X																																							
themselves	X	X	X					X																				X																																													
surrounding																																																										X		X													
tmz																																																																									
waste																																																																									
disposal																																																																									
large																	X																																X			X						X		X													
corporations																																																														X											
region																																																										X		X													
quote																																																																									
present																																																								X		X			X												
supplier																																																																									
submit																X																																	X			X																					
dumpsters																						X		X																																		X	X														
roberts																																																																									
nonpub																																																																									
bureau																																																														X											
memo																																																														X											
213																				X																																																					
6879962																				X																																																					
3200055																				X																																																					
secondlevel																																																																									
meanwhile	X												X																																													X			X												
lapd																																																																									
hollenbeck																																																																									
subpoena																																																																									
clerk																																																																									
attorney																																																																									
leland																																																																									
meecham																																																																									
talbott																																																																									
officer																																																	X			X																					
kendall																																																																									
serial																																																																									
21349																				X																																																					
witnesses																																																																									
court																																																																									
vacation																																																															X										
20th																																																																									
23rd																																																																									
8th																																																																									
16th																																																																									
26th																																																																									
arraignment																																																																									
130																				X																																																					
courtroom																																																																									
durea																																																																									
rights																																																																									
explained																X												X					X	X																					X																		
opportunity																						X	X																										X		X		X																				
attend																																																								X		X	X														
traf																																																																									
fic																																																																									
school																																																														X											
dismissed																																																																									
completion																																																																									
eighthour																				X																																																					
eligible																																																																									
respectfully																						X	X																										X			X																					
trial																																																																									
traveling																X																																										X	X				X										
9th																																																																									
leaving																X																																										X	X														
europe																																																																									
return																																																										X			X												
june																																																										X			X												
830																				X																																																					
sheppard																																																																									
arbuckle																																																																									
complaints																						X		X				X																																													
comes																X																																								X		X	X														
connecting																																																																									
tests																																																														X											
screen																																								X	X																																
keystrokes																																																																									
across	X										X																																															X		X													
stroke																																								X			X	X		X																											
appearing																																	X				X			X	X																																
m																																																																									
r																																																																				X		X			
asterisks																																																																									
hereyour																																																																									
protected																																																	X					X																			
allows																																	X		X														X			X																					
enter																X																																								X		X	X														
loud																																								X		X																															
asks																X												X																												X																	
test123																																																																									
special																	X					X	X																																																		
projects																																																														X											
answers																																	X	X																																							
mod																																																																									
linn																																																																									
wang																																																																									
arthur																																																																									
arondale																																																																									
inspector																																																	X			X																					
general																	X																																																								
priority																																																																									
government																																																	X			X										X											
cryin																																																																									
buy																																																																	X								
falling																																																										X	X														
mcs																																																																									
taxpayer																																																																									
whatcha																																																																									
alphadent																																																																									
dob																																																																									
7469																				X																																																					
numident																																																																									
deqy																																																																									
year																																																										X			X												
2001																				X																																																					
190286																				X																																																					
payer																																																														X			X								
microtech																																																																									
wages																																																														X			X								
kind																						X	X																																																		
george																																																																									
parking																																																																									
garage																																																															X	X									
elevators																																																																									
reprogram																																																																									
hire																																																														X											
73																				X																																																					
break																																																										X															
halfhour																																																																									
anna																																																																									
myrtle																																																																									
vp																																																	X			X										X											
underwood																																																																									
6973																				X																																																					
2127																				X																																																					
vittaro																																																																									
publisher																																																														X											
introduced																																																																									
los																																																																									
angeles																																																																									
crisis																																																	X					X																			
corner																																																										X		X													
fifteenth																				X																																																					
floorroom																																																										X		X													
1502																				X																																																					
button																																																																									
fewdigits																																																																									
ballo																																																																									
suzie																																																																									
moron																						X		X		X																							X			X																X	X				
pure																																	X					X																																			
hell																						X		X		X																																								X		X	X				
sunds																																																																									
differentthen																																																																									
certs																																																																									
scanner																																								X	X																																
permission																																																	X			X																					
plus	X										X			X																																			X				X																				
tire																																																																									
hap																																																																									
orange																	X																							X	X																																
firewall																																																																									
doe																																																																									
apple																																																																									
passcode																																																																									
textspeier																																																																									
de																																																																									
candy																																												X				X																									
moe																																																																									
sislack																																																																									
moes																																																																									
tavern																																																																									
bartender																																																																									
advertising																																																														X											
campus																																																														X											
coreo																																																																									
princeton																																																																									
chef																																																																									
hundred																				X																																																					
yams																																																																									
rose																																																																									
industries																																																														X											
yourpassword																																																																									
willard																																																																									
white																	X																							X	X																																
whilte																																																																									
google																																																																									
com																																																																									
owner																												X																					X			X																					
donating																X																																																	X								
stock																																																														X											
london																																																																									
financial																																																														X			X								
journalist																																																																									
confidential																																																																									
bauer																																																																									
t																																																																									
u	X	X	X			X																																																														X		X			
operative																																												X		X																X											
margot																																																																									
fitzsimmons																																																																									
sally																																																																									
ama																																																																									
purchaser																																																																	X								
placing																X																																										X		X													
anorder																																																																									
ww																																																																									
blowfeld																																																																									
labs																																																																									
auric																																																																									
wilson																																																																									
enterprise																																																																									
demographical																																																																									
population																																																																									
nick																																																																									
leshay																																																																									
sun																																																										X			X												
microsytems																																																																									
amanda																																																																									
hill																																																																									
verizon																																																																									
updating																																																										X			X												
noticed																X																	X	X																					X																		
mailbox																																																																X									
terry																																																																									
lamph																																																																									
notre																																																																									
dame																												X			X																																										
admissions																																																																									
representative																																																																									
informatoin																																																																									
samuel																																																																									
blake																																																																									
newest																	X	X																																								X			X												
model																																																																									
pear																																																																									
mykings																																																																									
pw																																																																									
8888																				X																																																					
ceo																																																	X			X										X											
president																																																	X			X										X											
jiskey																																																																									
ctu																																																																									
subverting																																																	X			X																					
story																												X																																													
hackers																																																																									
passphrase																																																																									
keeping																																																																									
